trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,shape_dist_traveled
1-1,00:26:00,00:26:00,205696,1,1,0
1-1,00:28:00,00:28:00,204229,2,0,514
1-1,00:29:08,00:29:08,204191,3,0,803
1-1,00:31:06,00:31:06,205517,4,0,1306
1-1,00:34:12,00:34:12,205528,5,0,2093
1-1,00:37:20,00:37:20,20506,6,0,2886
1-1,00:39:36,00:39:36,20619,7,0,3470
1-1,00:40:26,00:40:26,20614,8,0,3681
1-1,00:41:38,00:41:38,20609,9,0,3982
1-1,00:43:04,00:43:04,20603,10,0,4352
1-1,00:44:48,00:44:48,2029,11,1,4787
1-1,00:45:52,00:45:52,202719,12,0,5068
1-1,00:47:08,00:47:08,202722,13,0,5395
1-1,00:48:44,00:48:44,202733,14,0,5815
1-1,00:49:44,00:49:44,202740,15,0,6071
1-1,00:51:40,00:51:40,203686,16,0,6575
1-1,00:53:18,00:53:18,203687,17,0,7001
1-1,00:54:26,00:54:26,203491,18,0,7295
1-1,00:55:48,00:55:48,207749,19,0,7648
1-1,00:56:44,00:56:44,206298,20,0,7894
1-1,00:57:32,00:57:32,2031515,21,1,8095
1-1,00:58:46,00:58:46,205684,22,0,8430
1-1,00:59:24,00:59:24,2031292,23,0,8605
1-1,01:00:38,01:00:38,203892,24,0,8938
1-1,01:01:28,01:01:28,203889,25,0,9159
1-1,01:02:24,01:02:24,203884,26,0,9407
1-1,01:03:52,01:03:52,201758,27,0,9807
1-1,01:05:04,01:05:04,2031513,28,0,10132
1-1,01:06:14,01:06:14,205676,29,0,10444
1-1,01:08:06,01:08:06,203528,30,0,10945
1-1,01:08:36,01:08:36,2031511,31,1,11076
1-1,01:10:50,01:10:50,205333,32,0,11668
1-1,01:11:42,01:11:42,206365,33,0,11896
1-1,01:12:44,01:12:44,205337,34,0,12166
1-1,01:13:36,01:13:36,206293,35,0,12393
1-1,01:14:36,01:14:36,205338,36,0,12658
1-1,01:15:28,01:15:28,205288,37,0,12885
